name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kericho, Kenya",2022-01-28,29,17.8,23.9,28.6,17.8,23.9,14.6,57.6,1.3,100,29.17,rain,0,0,31.7,25.9,248.3,1014.3,72.3,14.8,263.9,22.8,9,10,2022-01-28T06:47:49,2022-01-28T18:55:48,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-29,30,17.7,24,30.4,17.7,24.2,16.1,63.2,0.1,100,4.17,rain,0,0,23.8,33.5,219,1014.7,71.5,14.2,255.1,21.9,10,10,2022-01-29T06:48:00,2022-01-29T18:55:58,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-30,30,18,24.2,31.1,18,24.6,18.6,72.9,1.3,100,25,rain,0,0,27.7,35.3,217.4,1014.1,52.7,12.6,276.6,23.9,9,10,2022-01-30T06:48:11,2022-01-30T18:56:07,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKKI,63708099999"
"Kericho, Kenya",2022-01-31,23.2,18.8,20.9,23.2,18.8,20.9,17.7,82.3,11.6,100,79.17,rain,0,0,32,14.8,225.8,1015.9,92.5,12.2,187.2,16.4,7,10,2022-01-31T06:48:21,2022-01-31T18:56:16,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"HKKI,63708099999"
"Kericho, Kenya",2022-02-01,28,15.2,21.8,29.2,15.2,21.9,17.1,75.7,2.1,100,62.5,rain,0,0,31.7,31.7,206.9,1015.1,79,16.6,225.8,19.3,8,10,2022-02-01T06:48:31,2022-02-01T18:56:23,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-02-02,29,15.4,23.1,29.5,15.4,23.3,17.5,72.6,2,100,25,rain,0,0,34.6,39.6,221.6,1014.8,90.9,17.5,243.2,21,9,10,2022-02-02T06:48:39,2022-02-02T18:56:30,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-02-03,29,15.9,22.8,30.3,15.9,23.1,17.9,75.8,1.9,100,25,rain,0,0,32,29.5,199.4,1015.2,77.3,16.1,280.4,24.1,10,10,2022-02-03T06:48:47,2022-02-03T18:56:36,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-02-04,29,14.3,22,29.8,14.3,22,15.4,69.2,0.5,100,16.67,rain,0,0,29.9,30.4,230.6,1014.6,72.2,16.7,280,24.2,9,10,2022-02-04T06:48:54,2022-02-04T18:56:41,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-02-05,26,14.8,20.3,26,14.8,20.3,16.7,80.9,8.5,100,58.33,rain,0,0,35.3,35.3,297.2,1016.1,79.6,13.7,240.2,20.7,8,10,2022-02-05T06:49:00,2022-02-05T18:56:46,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-02-06,28,13.1,21.7,29.2,13.1,21.9,17.1,77,1.5,100,25,rain,0,0,35.3,27.7,213.4,1015.2,88.6,14.8,258.5,22.3,9,10,2022-02-06T06:49:05,2022-02-06T18:56:49,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-02-07,26,20,22.5,26,20,22.5,17.7,74.9,7.9,100,37.5,rain,0,0,33.1,29.5,224.9,1016.6,87.7,13.2,210,18.1,8,10,2022-02-07T06:49:09,2022-02-07T18:56:52,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKKI,63708099999"
